user_id,x,y
1,-0.1211952,0.019370514
2,-0.00373695,0.00416493
3,-0.325538668,-0.262657494
4,-0.00115513,0.005390755
5,0.001970049,0.011552499
6,-0.001038949,0.005190199
7,-0.002660664,0.004925731
8,0.000104599,0.000876962
9,-0.001383071,0.004998306
10,0.002402974,0.005006218
11,-0.504561235,-0.051760498
12,-0.001547748,0.002737806
13,0.253604392,-5.70E-05
14,-0.001868855,0.003517493
15,0.001883999,0.005837458
16,-0.001500817,0.003604304
17,0.0093653,-0.00388033
18,-0.001750494,0.004777593
19,-0.001106474,0.004671598
20,-0.027901619,0.017174656
21,-0.001160474,0.005011645
22,0.002811259,0.01315037
23,-0.003998674,0.00260965
24,-0.001173369,0.005292658
25,0.000490995,0.006405358
26,0.101214352,-0.593123021
27,-0.001152131,0.004970525
28,-0.001129371,0.004714128
29,0.748555359,-0.039523251
30,-0.006591249,0.016106822
31,0.374327565,0.106518929
32,-0.000144162,0.005118306
33,-0.00276985,0.000893136
34,-0.00178059,0.001344913
35,-0.000754825,0.005260174
36,-0.001092707,0.005208174
37,-0.002011459,0.003140644
38,0.050102845,-0.281690561
39,-0.000124113,0.006514648
40,-0.057304345,0.747572989
41,-0.00543922,0.012339613
42,0.653276812,-0.328709269
43,0.010396337,-0.006949203
44,-0.001283736,0.005106794
45,-0.003458319,0.001015003
46,0.22970443,-0.286573022
47,-0.001059346,0.005288865
48,-0.349813938,-0.421437204
49,-0.019866074,-0.012037262
50,-0.001175648,0.005201148
51,-0.004179884,0.003491017
52,-0.002907944,0.002031305
53,-0.001384287,0.005029197
54,0.024195836,0.386158408
55,-0.002225288,0.012087478
56,-0.327809669,-0.128201995
57,-0.001330068,0.005116598
58,-0.000934883,0.004947983
59,-8.50E-05,0.004339423
60,-0.001152576,0.00494897
61,0.005130521,7.50E-05
62,-0.027447585,-0.038457028
63,0.007814235,-0.001621484
64,-0.001063278,0.005053167
65,0.008299162,0.011674255
66,-0.002120838,0.003739526
67,-0.001150157,0.005156101
68,0.002950126,0.001706503
69,0.086032696,0.223781807
70,0.001095673,0.007147859
71,-0.001200567,0.005228837
72,0.043047358,0.052778076
73,-0.199795891,0.320386521
74,-0.00095788,0.005183462
75,-0.001115375,0.003828699
76,0.000216447,-0.002177979
77,-0.001317615,0.004865939
78,-0.037340171,0.324660158
79,-0.001119663,0.005135851
80,-0.00647255,0.004934715
81,0.55059741,0.236100176
82,-0.001070344,0.004898138
83,-0.001112634,0.005260161
84,0.684467391,0.095384356
85,-0.001706355,0.005341678
86,-0.001124583,0.005224219
87,-0.001566079,0.005104194
88,-0.004520169,0.002558146
89,0.055786686,0.010411639
90,-0.001274299,0.005283552
91,-0.163475385,0.673008361
92,-0.013237384,0.007740717
93,0.333780415,-0.539657041
94,0.146081558,0.214767987
95,-0.000683312,0.007606676
96,0.000309865,0.006352668
97,0.034009314,0.290750762
98,-0.365947672,0.087991246
99,-0.003989288,0.007340734
100,-0.00110238,0.00520136
101,-0.070579985,0.483581648
102,-0.007651602,0.002359693
103,-0.00183433,0.020248166
104,-0.616971264,0.052111045
105,-0.001073699,-0.001565329
106,0.00896343,0.016895618
107,-0.558688952,0.095658578
108,-0.001355765,0.006390487
109,-0.001280991,0.004570152
110,0.001689071,0.002139867
111,0.01993491,0.000599475
112,-0.001161584,0.005189092
113,-0.001136562,0.005114488
114,-0.001919502,0.003746003
115,-0.001132757,0.004868
116,0.01173026,0.007889543
117,-0.228805954,0.427739234
118,-0.002049641,0.005504943
119,-0.001171441,0.004926262
120,-0.001139828,0.005100259
121,-0.00417843,0.006852135
122,-0.001440289,0.004491699
123,-0.003307698,0.005038363
124,-0.00127856,0.004912233
125,-0.136953183,-0.348295826
126,-0.00127324,0.004878611
127,-0.001709235,0.004654731
128,0.014646349,0.003658945
129,-0.00351389,0.010100626
130,-0.004507157,0.015020926
131,-0.001224702,0.004821181
132,-0.249662071,-0.014893496
133,-0.236602289,-0.315057051
134,-0.102733951,0.200394222
135,-0.001014085,0.000520894
136,-0.508185917,-0.187950097
137,-0.001216356,0.005073831
138,0.813896654,0.366986632
139,-0.004502531,-0.002788187
140,0.071459316,-0.452878916
141,-0.00446142,0.00664064
142,-0.001179493,0.005143377
143,-0.002424677,0.002696093
144,-0.001174451,0.005241491
145,-0.000617396,0.004031425
146,-0.39800703,0.352355168
147,0.128844365,0.547066437
148,-0.001135472,0.00530385
149,0.27419136,-0.353561644
150,-0.006440206,0.009263034
151,-0.001677551,0.005298332
152,-0.128338397,-0.677272181
153,-0.001711985,0.005418158
154,-0.00103658,0.004859007
155,0.001880295,0.00316841
156,-0.348743528,-0.16282385
157,-0.058773184,-0.022816829
158,0.008415394,0.00302495
159,-0.005435069,0.00732793
160,-0.003606518,0.004194063
161,-0.002167324,0.00403225
162,-0.002473877,0.005110291
163,0.276625203,0.269716613
164,-0.00141874,0.004993463
165,-0.008024259,-0.001384582
166,0.007943933,0.010923009
167,-0.00106736,0.004975418
168,-0.005862684,0.008598969
169,-0.00022729,0.004198892
170,-0.002156611,0.004594643
171,-0.001276125,0.005070335
172,-0.002167825,0.004285749
173,-0.001095782,0.005060518
174,-0.001170083,0.005141957
175,-0.001663562,0.003723081
176,-0.198324996,-0.303934612
177,-0.002324353,0.004194087
178,-0.273577275,0.047369834
179,0.025220476,-0.27554214
180,-0.003362186,0.006596973
181,-0.001533561,0.005246372
182,-0.002149909,0.005480535
183,-0.000908382,0.004944851
184,0.00303954,0.002659778
185,-0.00017234,0.003139368
186,0.149109467,-0.445537221
187,-0.00018741,0.007138096
188,-0.000141692,0.00707076
189,-0.006422765,0.002384209
190,-0.003487048,0.004901359
191,-0.001092649,0.005048178
192,-0.004212024,0.019086646
193,-0.001585046,0.005982602
194,-0.001889853,0.003482076
195,-0.014388596,-0.022415446
196,-0.003541938,0.00181251
197,0.00451727,-0.006464564
198,-0.002701865,0.002119832
199,-0.000148138,0.006528844
200,0.059205877,0.153028883
201,-0.001156605,0.004948312
202,0.005746537,0.014523492
203,-0.001324312,0.004688724
204,-0.001105137,0.004032573
205,0.258082652,0.347266661
206,-0.000369978,0.004851213
207,-0.398964338,-0.435051875
208,-0.301940986,0.005107775
209,-0.325929458,-0.063948005
210,-0.000155048,0.004049383
211,0.178491721,-0.050262354
212,-0.00662511,-0.000578424
213,-0.421342183,0.434106917
214,-0.002872827,-0.003333143
215,-0.000709816,0.004948563
216,-0.003362902,-0.006715224
217,-0.000439135,0.0050206
218,-0.001221819,0.003849157
219,-0.001230375,0.004970024
220,-0.001012352,0.00611417
221,-0.001189075,0.005134457
222,-0.003601913,0.004329127
223,1.09E-05,0.004766541
224,-0.001153206,0.005324188
225,-0.002522565,0.004300696
226,-0.222126449,0.11056062
227,-0.002233181,0.004817053
228,-0.40106038,0.459834064
229,-0.069725719,-0.329305182
230,-0.560308087,-0.034644286
231,-0.001216689,0.005024362
232,1.99E-05,0.00795717
233,-0.001088381,0.005297493
234,-0.000761776,0.004815415
235,0.001996662,0.004547606
236,0.00013935,0.004460063
237,-0.001197193,0.005103388
238,0.048230903,-0.304576384
239,0.001067504,0.009123446
240,2.49E-05,0.004176264
241,-0.001572208,0.004500929
242,-0.001304535,0.004494892
243,-0.001101112,0.004346178
244,-0.640458274,0.019348632
245,-0.002607524,0.002706335
246,-0.00120591,0.005144457
247,-0.001998468,0.006004921
248,-0.00505539,0.001853825
249,-0.002773244,0.003775794
250,0.382717625,0.61138299
251,-0.071094792,-0.177871039
252,-0.000939644,0.004843568
253,-0.016040245,0.016497476
254,-0.001455642,0.004722685
255,-0.000624995,0.011873021
256,-0.001178329,0.005105625
257,-0.420295607,0.13185957
258,-0.001385889,0.005066554
259,-0.001465338,0.004854472
260,-0.000800319,0.007995299
261,-0.001132037,0.005292415
262,-0.411588823,-0.097439252
263,-0.000293634,0.003199483
264,-0.013976567,-0.007901444
265,0.000909454,0.005855275
266,-0.002762705,0.00545449
267,-0.001228764,0.005152472
268,-0.086016346,0.435314167
269,-0.002992502,0.004865861
270,0.323969671,-0.23921911
271,-0.001170274,0.004764329
272,-0.242994753,0.127800177
273,-0.25441264,-0.119779174
274,0.000478799,-0.001599456
275,0.039112799,-0.050171662
276,0.168932403,-0.146484811
277,0.606484337,0.077670947
278,-0.000998755,0.00397623
279,-0.001537437,0.006343417
280,-0.001197746,0.004633242
281,-0.026315218,-0.001714812
282,-0.001039336,0.005200469
283,-0.001116391,0.004966204
284,-0.000409445,0.005673703
285,-0.001874709,0.006146126
286,0.000247754,0.006771779
287,0.235977452,-0.351973332
